Noun;negative_metaphor;positive_metaphor
year;A year is a relentless thief, stealing moments away;A year is a book filled with chapters of growth and renewal
people;People are shadows on a wall, indistinct and fleeting;People are stars in the vast sky of humanity, shining uniquely
way;The way is a labyrinth with no exit;The way is a river flowing with opportunities and adventures
man;A man is a crumbling statue of pride;A man is a mountain, standing strong and reaching for the sky
day;The day is a fading echo of forgotten dreams;A day is a canvas painted with the colors of possibility
thing;A thing is a phantom, elusive and ungraspable;A thing is a seed, holding the potential for endless creation
child;A child is a fragile dream, easily shattered;A child is a garden blooming with innocence and wonder
Mr;Mr is a hollow title, devoid of substance;Mr is a lighthouse guiding ships through the storms of life
government;The government is a rusting machine, creaking and failing;The government is a bridge connecting the past and future
work;Work is a heavy chain, dragging life into monotony;Work is a symphony composed of dedication and passion
life;Life is a masquerade of despair;Life is a tapestry woven with threads of experience and love
woman;A woman is a storm, unpredictable and fierce;A woman is a river, flowing with strength and grace
system;The system is a tangled web, ensnaring all who enter;The system is a clockwork, ticking with precision and order
case;A case is a locked box, hiding secrets within;A case is a puzzle, waiting to be solved with insight
part;A part is a broken piece of an incomplete puzzle;A part is a note in the melody of a harmonious whole
group;A group is a herd of lost sheep;A group is a constellation, united by shared purpose
number;A number is a ghost, haunting with its emptiness;A number is a key unlocking the door to understanding
world;The world is a crumbling edifice on the brink of collapse;The world is a garden, rich with diversity and beauty
house;A house is a prison of silent walls;A house is a sanctuary, filled with warmth and memories
area;An area is a barren wasteland, devoid of life;An area is a canvas, painted with the hues of community
company;A company is a sinking ship, taking all down with it;A company is a ship navigating the seas of innovation
problem;A problem is a black hole, consuming all light;A problem is a knot, unraveling with patience and thought
service;Service is a broken promise, unfulfilled and empty;Service is a bridge, connecting hearts with acts of kindness
place;A place is a mirage, promising refuge but offering none;A place is a haven, offering comfort and belonging
hand;A hand is a withered branch, unable to reach out;A hand is a tool, crafting dreams into reality
party;A party is a cacophony of empty laughter;A party is a fireworks display, bursting with joy and laughter
school;School is a cage, stifling creativity and freedom;A school is a garden, nurturing minds to blossom
country;A country is a fractured mirror, reflecting discord;A country is a tapestry, woven with threads of history
point;A point is a needle, pricking with its sharpness;A point is a spark, igniting the flame of discovery
week;A week is a monotonous cycle, repeating endlessly;A week is a journey, marked by milestones of progress
member;A member is a pawn in a game of power;A member is a piece of a mosaic, contributing to the whole
end;The end is a yawning abyss, devoid of hope;An end is a sunset, heralding the dawn of new beginnings
state;The state is a crumbling fortress, besieged by chaos;A state is a canvas, painted with the colors of culture
word;A word is a dagger, cutting with its sharpness;A word is a bridge, connecting thoughts and hearts
family;Family is a chain of obligations, binding and heavy;A family is a nest, cradling love and support
fact;A fact is a cold stone, unyielding and harsh;A fact is a beacon, guiding the way to truth
head;A head is a stormy sky, clouded with confusion;A head is a compass, directing the path of wisdom
month;A month is a slow tide, eroding the shores of time;A month is a chapter, unfolding stories of life
side;A side is a wall, dividing and isolating;A side is a mirror, reflecting different perspectives
business;Business is a battlefield, littered with casualties;A business is a garden, cultivating ideas to fruition
night;Night is a cloak of shadows, hiding fears;The night is a blanket, wrapping the world in dreams
eye;An eye is a cracked window, distorting the view;An eye is a window, opening to the soul's landscape
home;Home is a cage, confining and suffocating;Home is a hearth, radiating warmth and belonging
question;A question is a pitfall, leading to uncertainty;A question is a key, unlocking the door to knowledge
information;Information is a tangled web, ensnaring the mind;Information is a river, flowing with currents of insight
power;Power is a poison, corrupting all it touches;Power is a flame, illuminating paths of possibility
change;Change is a tempest, uprooting stability;Change is a breeze, refreshing the landscape of life
interest;Interest is a leech, draining enthusiasm;Interest is a magnet, drawing curiosity and engagement
development;Development is a mirage, promising progress but delivering none;Development is a seedling, growing into a towering tree
money;Money is a mirage, promising wealth but delivering emptiness;Money is a tool, building bridges to dreams
book;A book is a labyrinth, trapping the mind;A book is a journey, traveling through realms of imagination
water;Water is a relentless tide, eroding the land;Water is a mirror, reflecting the dance of light and shadow
other;Other is a shadow, lurking in the periphery;The other is a horizon, expanding the view of understanding
form;Form is a ghost, lacking substance;A form is a vessel, carrying the essence of creation
room;Room is a void, echoing with silence;A room is a cocoon, nurturing transformation
level;Level is a plateau, barren and unyielding;A level is a step, ascending the ladder of achievement
car;A car is a caged beast, confined to the road;A car is a chariot, racing towards new horizons
council;The council is a crumbling edifice of bureaucracy;A council is a compass, guiding the ship of community
policy;Policy is a maze, confounding and misleading;A policy is a map, charting the course for progress
market;The market is a storm, unpredictable and destructive;A market is a garden, blooming with commerce and trade
court;Court is a stage, where justice is an illusion;A court is a stage, where truth and justice perform
effect;Effect is a shadow, following without substance;An effect is a ripple, spreading through the pond of existence
result;Result is a mirage, promising clarity but offering confusion;A result is a harvest, reaped from seeds of effort
idea;An idea is a fleeting wisp, vanishing into thin air;An idea is a spark, igniting the fire of innovation
use;Use is a parasite, consuming resources without return;Use is a bridge, connecting potential with purpose
study;Study is a labyrinth of confusion;A study is a voyage, exploring the seas of knowledge
job;A job is a treadmill, leading nowhere;A job is a canvas, painted with strokes of ambition
name;A name is a ghost, haunting with its absence;A name is a melody, echoing through the halls of identity
body;The body is a prison of flesh and bone;A body is a temple, housing the spirit of life
report;A report is a fog, obscuring the truth;A report is a mirror, reflecting the landscape of reality
line;A line is a chain, binding and restrictive;A line is a thread, weaving the fabric of communication
law;Law is a double-edged sword, cutting both ways;Law is a foundation, supporting the structure of society
face;A face is a mask, hiding true intentions;A face is a canvas, displaying the art of emotion
friend;A friend is a shadow, vanishing when the light fades;A friend is a lighthouse, guiding through the fog of life
authority;Authority is a crumbling throne, devoid of power;Authority is a beacon, illuminating the path of order
road;A road is a winding path to nowhere;A road is a ribbon, unfurling through the landscape of adventure
minister;A minister is a puppet, manipulated by unseen hands;A minister is a gardener, tending to the garden of society
rate;Rate is a ticking time bomb, ready to explode;A rate is a pulse, measuring the heartbeat of progress
door;A door is a barrier, keeping opportunities at bay;A door is a portal, opening to realms of possibility
hour;An hour is a thief, stealing time away;An hour is a pearl, strung on the necklace of time
office;An office is a sterile cage, devoid of life;An office is a hive, buzzing with activity and purpose
right;Right is a phantom, elusive and shifting;A right is a flame, burning with the light of justice
war;War is a ravenous beast, devouring all in its path;War is a storm, testing the strength of humanity
mother;A mother is a storm, unpredictable and consuming;A mother is a sun, warming the world with love
person;A person is a shadow, fleeting and insubstantial;A person is a universe, vast and full of wonder
reason;Reason is a mirage, promising clarity but offering confusion;A reason is a root, anchoring the tree of understanding
view;A view is a distorted lens, obscuring reality;A view is a window, framing the beauty of the world
term;Term is a shackle, binding with obligations;A term is a link, connecting the chain of communication
period;A period is a stagnant pool, breeding discontent;A period is a pause, marking the rhythm of life
centre;The centre is a void, lacking substance;A centre is a heart, beating with the pulse of activity
figure;A figure is a ghost, haunting with its emptiness;A figure is a sculpture, carved from the stone of reality
society;Society is a crumbling edifice, teetering on the brink;Society is a tapestry, woven with threads of culture
police;Police are a storm, unpredictable and uncontrollable;The police are guardians, shielding the community with care
city;A city is a concrete jungle, suffocating and harsh;A city is a symphony, composed of diverse notes of life
need;Need is a relentless hunger, never satisfied;A need is a seed, growing into the tree of fulfillment
community;Community is a fragile web, easily torn;A community is a quilt, stitched with patches of diversity
million;A million is a mirage, promising abundance but delivering scarcity;A million is a galaxy, filled with stars of potential
kind;Kind is a mask, hiding true intentions;A kind is a flower, blooming with the fragrance of compassion
price;Price is a burden, weighing heavily on the soul;A price is a bridge, spanning the gap between desire and reality
control;Control is a mirage, promising order but delivering chaos;Control is a rudder, steering the ship of destiny
action;Action is a runaway train without a conductor;Action is the spark that ignites the flame of progress
cost;Cost is a leech draining resources;Cost is the gentle reminder of the value we assign to our choices
issue;Issue is a thorny bush in the path;Issue is a puzzle waiting to reveal its hidden solutions
process;Process is a labyrinth with no exit;Process is the river guiding us through the landscape of achievement
position;Position is a sinking ship in turbulent waters;Position is the lighthouse guiding us through the sea of possibilities
course;Course is a river leading to a waterfall;Course is a winding path leading to the summit of understanding
minute;Minute is a fleeting shadow on a sundial;Minute is a precious gem in the treasure chest of time
education;Education is a locked door without a key;Education is the key that unlocks the doors to wisdom
type;Type is a broken mold that can't be filled;Type is the brushstroke that colors the canvas of expression
research;Research is a blindfolded journey through a maze;Research is the lantern illuminating the path to discovery
subject;Subject is a storm cloud overshadowing clarity;Subject is the canvas upon which knowledge is painted
programme;Programme is a tangled web of confusion;Programme is the symphony orchestrating the harmony of ideas
girl;Girl is a wilting flower in a storm;Girl is the blossom of life's garden, full of promise and wonder
moment;Moment is a mirage in a desert of time;Moment is a fleeting butterfly in the garden of time
age;Age is a relentless thief stealing youth;Age is the tapestry woven with threads of experience
father;Father is a crumbling pillar of support;Father is the pillar of strength in the architecture of family
force;Force is a double-edged sword cutting both ways;Force is the wind propelling the sails of determination
order;Order is a house of cards in a hurricane;Order is the melody bringing harmony to the symphony of chaos
